Cell Type,Gradient:0,Gradient:1,Gradient:2,U:0,U:1,U:2,p,,WSS
9,-28.838,-5.518,0,0.0922,0.013847,-1.14E-19,0.67639,,29.3611745
9,-26.134,-4.7613,0,0.089547,0.012874,-1.06E-19,0.62913,,26.56418517
9,-24.701,-4.3545,0,0.0872,0.01171,-1.97E-19,0.58673,,25.08188731
9,-20.687,-3.7319,0,0.08493,0.01046,0,0.5445,,21.02091926
9,-22.199,-2.4187,0,0.083604,0.0088915,0,0.5157,,22.33037641
9,-55.925,-14.116,0,0.11516,0.010689,-1.88E-19,1.1761,,57.67900035
9,-54.312,-12.144,0,0.11067,0.014346,5.20E-19,1.0745,,55.65312282
9,-46.932,-12.12,0,0.10618,0.016058,4.82E-19,0.98806,,48.47171365
9,-42.029,-10.77,0,0.10215,0.016656,1.50E-19,0.91093,,43.38697663
9,-37.828,-9.5517,0,0.098517,0.016614,2.77E-19,0.8417,,39.0152862
9,-34.204,-8.4702,0,0.095212,0.016204,0,0.77929,,35.23716652
9,-31.057,-7.5432,0,0.092168,0.015558,0,0.72278,,31.95992984
9,-28.283,-6.7197,0,0.089336,0.014719,0,0.6714,,29.07030198
9,-25.5,-5.8329,0,0.086691,0.013677,0,0.62461,,26.15860704
9,-24.53,-5.3231,0,0.084335,0.012417,9.80E-20,0.58301,,25.10092217
9,-19.82,-4.5227,0,0.081895,0.011036,0,0.53976,,20.32946668
9,-21.07,-2.9306,0,0.080693,0.00931,0,0.51422,,21.27283047
9,-52.918,-17.443,0,0.11063,0.011722,0,1.1696,,55.718695
9,-54.406,-14.633,0,0.10568,0.015353,-3.49E-21,1.0645,,56.3394846
9,-45.854,-14.307,0,0.10097,0.016902,-3.18E-21,0.97902,,48.03414999
9,-41.097,-12.585,0,0.096959,0.017357,0,0.9026,,42.98075888
9,-36.985,-11.126,0,0.093445,0.017216,-2.70E-21,0.83408,,38.62224878
9,-33.461,-9.8754,0,0.090281,0.016746,0,0.77231,,34.88784955
9,-14.38,-7.3224,0,0.05324,0.0097321,1.67E-19,0.51313,,16.13697437
9,-14.134,-4.0731,0,0.052769,0.0076857,-1.19E-22,0.50577,,14.70918419
9,-29.935,-37.005,0,0.067057,0.012436,0,1.123,,47.59699833
9,-51.513,-26.08,0,0.062779,0.014,-3.22E-19,1.0061,,57.73868347
9,-38.96,-22.251,0,0.059108,0.014158,3.00E-19,0.9289,,44.86634152
9,-36.064,-18.642,0,0.056606,0.013916,-2.75E-19,0.85765,,40.59724449
9,-32.867,-16.3,0,0.054551,0.013522,-2.60E-19,0.79323,,36.68691441
9,-29.997,-14.613,0,0.05271,0.013052,0,0.73464,,33.36704629
9,-27.367,-13.33,0,0.050961,0.012517,0,0.6812,,30.44078825
9,-24.728,-12.236,0,0.049207,0.011879,0,0.63244,,27.58973867
9,-21.572,-11.246,0,0.047384,0.011067,0,0.58872,,24.32742691
9,-22.559,-10.416,0,0.045542,0.0099909,1.83E-19,0.55141,,24.84756602
9,-12.257,-7.9627,0,0.042572,0.008355,-2.82E-21,0.50486,,14.6163826
9,-11.516,-3.9186,0,0.042309,0.0063532,-2.62E-20,0.50352,,12.16444335
9,-18.784,-46.73,0,0.049812,0.010804,0,1.103,,50.36399067
9,-48.462,-30.471,0,0.0468,0.011534,0,0.98703,,57.24550013
9,-36.36,-24.572,0,0.044001,0.011397,0,0.91345,,43.88431137
9,-34.37,-20.483,0,0.0422,0.011101,2.74E-19,0.8441,,40.01062595
9,-31.557,-17.99,0,0.040707,0.010752,0,0.78092,,36.32470714
9,-28.916,-16.25,0,0.039352,0.010377,0,0.72316,,33.16922604
9,-26.418,-14.956,0,0.038041,0.0099664,2.17E-19,0.67032,,30.35774465
9,-23.811,-13.922,0,0.036692,0.0094845,0,0.62204,,27.58234589
9,-20.723,-13.24,0,0.035247,0.0088704,0,0.57887,,24.59146862
9,-21.569,-12.504,0,0.033694,0.0080317,0,0.5417,,24.93134126
9,-9.3088,-8.9472,0,0.030876,0.0065287,-1.63E-19,0.49589,,12.9114734
9,-8.103,-3.1993,0,0.030806,0.0046659,0,0.50166,,8.711723681
9,-3.1789,-58.639,0,0.030511,0.007745,0,1.0758,,58.72510303
9,-44.064,-34.963,0,0.029151,0.0078648,-3.00E-19,0.96532,,56.24986636
9,-33.325,-27.368,0,0.0274,0.0076117,0,0.89613,,43.12265123
9,-32.416,-22.988,0,0.026353,0.0073661,0,0.82883,,39.73971817
9,-29.987,-20.48,0,0.025455,0.0071234,0,0.7669,,36.31322857
9,-27.574,-18.733,0,0.024622,0.0068802,2.28E-19,0.70998,,33.33542808
9,-25.22,-17.465,0,0.023799,0.0066233,-2.16E-19,0.65772,,30.67693963
9,-22.69,-16.572,0,0.02293,0.0063269,0,0.60984,,28.09746045
9,-19.826,-16.289,0,0.02197,0.0059511,0,0.56691,,25.65934132
9,-20.061,-15.524,0,0.020841,0.0054107,0,0.52892,,25.36608557
9,-4.9391,-9.9594,0,0.018478,0.004225,1.56E-19,0.48537,,11.11685015
9,-3.3305,-1.3377,0,0.018549,0.0027237,0,0.50145,,3.58910456
9,0.9982,-32.161,0,0.010049,0.0028832,2.42E-19,1.0452,,32.17648713
9,-45.904,-18.37,0,0.010172,0.0028414,2.25E-19,0.9414,,49.44324136
9,-35.22,-14.345,0,0.0095394,0.0027121,0,0.8772,,38.02929693
9,-28.283,-6.7197,0,0.089336,0.014719,0,0.6714,,29.07030198
9,-25.5,-5.8329,0,0.086691,0.013677,0,0.62461,,26.15860704
9,-24.53,-5.3231,0,0.084335,0.012417,9.80E-20,0.58301,,25.10092217
9,-19.82,-4.5227,0,0.081895,0.011036,0,0.53976,,20.32946668
9,-21.07,-2.9306,0,0.080693,0.00931,0,0.51422,,21.27283047
9,-52.918,-17.443,0,0.11063,0.011722,0,1.1696,,55.718695
9,-54.406,-14.633,0,0.10568,0.015353,-3.49E-21,1.0645,,56.3394846
9,-45.854,-14.307,0,0.10097,0.016902,-3.18E-21,0.97902,,48.03414999
9,-41.097,-12.585,0,0.096959,0.017357,0,0.9026,,42.98075888
9,-36.985,-11.126,0,0.093445,0.017216,-2.70E-21,0.83408,,38.62224878
9,-33.461,-9.8754,0,0.090281,0.016746,0,0.77231,,34.88784955
9,-30.396,-8.8241,0,0.087367,0.016061,0,0.71634,,31.65093295
9,-27.659,-7.8931,0,0.084633,0.015192,0,0.66545,,28.76319364
9,-24.789,-6.8963,0,0.082043,0.01411,0,0.61918,,25.73039982
9,-24.306,-6.2873,0,0.07971,0.012786,-1.92E-19,0.57848,,25.10601078
9,-18.786,-5.2827,0,0.077107,0.01129,0,0.53421,,19.51462824
9,-19.732,-3.3801,0,0.076058,0.0094304,0,0.51242,,20.01941308
9,-49.063,-21.337,0,0.10361,0.012549,0,1.1614,,53.50182743
9,-54.315,-17.317,0,0.098352,0.015965,-3.40E-19,1.0528,,57.00875121
9,-44.531,-16.498,0,0.093567,0.01725,-3.15E-19,0.96852,,47.48888254
9,-40.021,-14.337,0,0.089712,0.017524,0,0.89301,,42.51152797
9,-36.048,-12.625,0,0.086415,0.017283,-5.42E-19,0.82534,,38.19488093
9,-32.649,-11.218,0,0.083471,0.016768,0,0.76428,,34.52246696
9,-29.679,-10.062,0,0.080754,0.016071,0,0.70891,,31.33826551
9,-26.975,-9.0441,0,0.078176,0.015202,0,0.65855,,28.45077099
9,-24.012,-7.9658,0,0.075688,0.014117,-2.03E-19,0.61288,,25.29881645
9,-24.015,-7.2627,0,0.073411,0.012769,1.92E-19,0.57312,,25.08918166
9,-17.561,-6.0109,0,0.070659,0.011179,0,0.52788,,18.56124026
9,-18.159,-3.7444,0,0.069786,0.0092162,2.64E-20,0.51035,,18.54103051
9,-44.134,-25.825,0,0.094026,0.013056,-3.62E-19,1.1512,,51.13453413
9,-53.923,-20.138,0,0.088707,0.016048,0,1.0391,,57.56065473
9,-42.938,-18.618,0,0.084047,0.016985,0,0.95657,,46.80065991
9,-38.807,-15.974,0,0.080495,0.017063,0,0.88223,,41.96608065
9,-35.03,-14.017,0,0.077519,0.016736,2.69E-19,0.81554,,37.73032188
9,-31.784,-12.476,0,0.074873,0.0162,2.47E-19,0.75526,,34.14488588
9,-28.92,-11.242,0,0.072417,0.015521,-2.30E-19,0.70053,,31.02819627
9,-26.245,-10.164,0,0.070052,0.01469,0,0.65071,,28.14439413
9,-23.192,-9.0421,0,0.067721,0.013644,2.02E-19,0.60568,,24.8923369
9,-23.64,-8.2551,0,0.065539,0.012321,0,0.56686,,25.03989369
9,-16.108,-6.6973,0,0.062658,0.010668,0,0.52084,,17.44481273
9,-16.311,-3.9892,0,0.061981,0.0086399,-1.19E-22,0.50809,,16.79173718
9,-37.902,-30.861,0,0.08184,0.013088,3.60E-19,1.1385,,48.87701837
9,-53.093,-22.989,0,0.076811,0.015448,3.23E-19,1.0235,,57.85638055
